Comment,Designator,Footprint,JLCPCB Part #,QTY,Order From Digikey?
Diode,D1,SMADIODE,C110531,1,
Momentary Switch (Pushbutton) - SPST,"SW_EFUSE_RST, SW_EFUSE_RST1",TACTILE_SWITCH_SMD_6.0X3.5MM,C520860,2,
SMD solder JUMPER,SJ1,SJ_2,DNP,1,
"WA-SMSI SMT Steel Spacer, M2.5 Thread Internal","MS1, MS2",WA-SMSI_9774060151,DNP,2,
"RESISTOR, American symbol","RG1, RG2, RG3, RG4",R1206,C326706,4,
"RESISTOR, American symbol","R1, RF2, RF3",R0603,C103197,3,
"CAPACITOR, European symbol","C5, CF2, CVREF1",C0603,C14663,3,
"RESISTOR, American symbol","RGS2, RGS3, RGS4, RGS6, RGS7, RGS10, RVRF2",R0603,C116677,7,
"RESISTOR, American symbol",RF1,R0603,C491175,1,
"CAPACITOR, European symbol","C3, C9, C67",C1206,C13585,3,
"RESISTOR, American symbol","R_ILIM1, R_ILIM2, R_ILIM3, R_ILIM4",R1206,C102322,4,
"RESISTOR, American symbol",RPD5,R0603,C95331,1,
"RESISTOR, American symbol","RGS1, RGS5, RGS9",R0603,C118368,3,
Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,"J_-VLOAD, J_BATT/GND",2X6,DNP,2,
"CAPACITOR, European symbol",CF1,C0603,C14663,1,
"RESISTOR, American symbol","RGD1, RLD1, RLD2, RLD3, RPU2",R0603,C126358,5,
"RESISTOR, American symbol","RPU3, RVRF1",R0603,C209133,2,
"RESISTOR, American symbol","RSHUNT1, RSHUNT2, RSHUNT3, RSHUNT4",R2512,C459689,4,
,EFUSE_LIM,POT_CT-94EW_NDC,DNP,1,
Green SMD LED,"LED_3V3, LED_12V, L_EFUSE_TRIP",LED-1206,C434439,3,
IPB60R060P7ATMA1,"QN_SSR1, QN_SSR2, QN_SSR3, QN_SSR4",D2PACK,DNP,4,
,DC/DC-3V3,3-SIP,DNP,1,
,U2,MF05A,C253067,1,
,"QN1, QN2, QN3, QN4, QN10, QN11","SOT23,SC-59,TO-236-3",C296286,6,
Zener Diode - Popular parts,DZ_15V1,SODFL3718X115,C173428,1,
,"QP1, QP2, QP3, QP4, QP5, QP6","SOT23,SC-59,TO-236-3",C489594,6,
,"3V3_1, AMP_OUT, GND2, GND3, GND4, TP-12V2, TP-SSR_G, TP_!EFUSE_RST, TP_-VLD_SW2, TP_-VLOAD, TP_12VDRV, TP_COMP_OUT, TP_EFUSE_TRIP, TP_VREF",THM-TESTPOINT,DNP,14,
