Designator   ,Mid X,Mid Y,Layer,Rotation,Value,Footprint
C3,34.4,13.5,BOTTOM,0,10uF,C1206
C5,29.7,54.4,BOTTOM,0,100nF,C0603
C67,34.4,11,BOTTOM,0,10uF,C1206
C9,36.6,4.5,BOTTOM,180,10uF,C1206
CF1,33.1,62.8,BOTTOM,180,320pF,C0603
CF2,33.1,65,BOTTOM,180,100nF,C0603
CVREF1,28.1,64.3,BOTTOM,270,100nF,C0603
D1,23.6,23.9,BOTTOM,270,,SMADIODE
DZ_15V1,18.3,26.7,BOTTOM,0,"NZH15B,115",SODFL3718X115
LED_12V,21.5,13.5,BOTTOM,0,GREEN,LED-1206
LED_3V3,21.5,10.6,BOTTOM,0,GREEN,LED-1206
L_EFUSE_TRIP,4.6,75.3,BOTTOM,0,GREEN,LED-1206
MS1,38,73,BOTTOM,0,9774060151,WA-SMSI_9774060151
MS2,4,4,BOTTOM,0,9774060151,WA-SMSI_9774060151
QN1,14.1,24.3,BOTTOM,90,NFET-(SOT-23-3)(TO-236-3)(SC-59),"SOT23,SC-59,TO-236-3"
QN10,36.1,55.2,BOTTOM,270,NFET-(SOT-23-3)(TO-236-3)(SC-59),"SOT23,SC-59,TO-236-3"
QN11,36.1,50.4,BOTTOM,90,NFET-(SOT-23-3)(TO-236-3)(SC-59),"SOT23,SC-59,TO-236-3"
QN2,11.8,20.7,BOTTOM,270,NFET-(SOT-23-3)(TO-236-3)(SC-59),"SOT23,SC-59,TO-236-3"
QN3,5.4,20.7,BOTTOM,270,NFET-(SOT-23-3)(TO-236-3)(SC-59),"SOT23,SC-59,TO-236-3"
QN4,32.65,45.3,BOTTOM,0,NFET-(SOT-23-3)(TO-236-3)(SC-59),"SOT23,SC-59,TO-236-3"
QP1,34.5,59.3,BOTTOM,90,PFET-(SOT-23-3)(TO-236-3)(SC-59),"SOT23,SC-59,TO-236-3"
QP2,36.4,41.3,BOTTOM,0,PFET-(SOT-23-3)(TO-236-3)(SC-59),"SOT23,SC-59,TO-236-3"
QP3,32.5,37.4,BOTTOM,0,PFET-(SOT-23-3)(TO-236-3)(SC-59),"SOT23,SC-59,TO-236-3"
QP4,27.65,39.3,BOTTOM,0,PFET-(SOT-23-3)(TO-236-3)(SC-59),"SOT23,SC-59,TO-236-3"
QP5,36.4,45.3,BOTTOM,0,PFET-(SOT-23-3)(TO-236-3)(SC-59),"SOT23,SC-59,TO-236-3"
QP6,36.4,37.4,BOTTOM,0,PFET-(SOT-23-3)(TO-236-3)(SC-59),"SOT23,SC-59,TO-236-3"
R1,35.3,33.4,BOTTOM,270,100,R0603
RF1,30.6,64.3,BOTTOM,90,10k,R0603
RF2,30.6,61.1,BOTTOM,90,100,R0603
RF3,26.1,64.3,BOTTOM,270,100,R0603
RG1,2.5,24.3,BOTTOM,90,10,R1206
RG2,13.8,28.4,BOTTOM,180,10,R1206
RG3,25.2,55,BOTTOM,270,10,R1206
RG4,13,55,BOTTOM,270,10,R1206
RGD1,32.5,50.5,BOTTOM,270,3k,R0603
RGS1,10.9,24.3,BOTTOM,90,20k,R0603
RGS10,38.3,34.4,BOTTOM,180,10k,R0603
RGS2,32.5,34.4,BOTTOM,180,10k,R0603
RGS3,39.1,55.2,BOTTOM,270,10k,R0603
RGS4,32.55,42.3,BOTTOM,0,10k,R0603
RGS5,14.8,20.7,BOTTOM,270,20k,R0603
RGS6,27.65,36.2,BOTTOM,180,10k,R0603
RGS7,28.6,42.3,BOTTOM,180,10k,R0603
RGS9,8.2,20.7,BOTTOM,270,20k,R0603
RLD1,26,10.6,BOTTOM,0,3k,R0603
RLD2,36.2,62.8,BOTTOM,180,3k,R0603
RLD3,26,13.5,BOTTOM,0,3k,R0603
RPD5,39.1,59.3,BOTTOM,90,200k,R0603
RPU2,32.5,55.2,BOTTOM,90,3k,R0603
RPU3,34.5,67.9,BOTTOM,0,400k,R0603
RSHUNT1,21.6,61.5,BOTTOM,270,"75mOhm, 3W",R2512
RSHUNT2,17.5,61.5,BOTTOM,270,"75mOhm, 3W",R2512
RSHUNT3,13.4,61.5,BOTTOM,270,"75mOhm, 3W",R2512
RSHUNT4,9.3,61.5,BOTTOM,270,"75mOhm, 3W",R2512
RVRF1,26.1,67.4,BOTTOM,270,400k,R0603
RVRF2,28.1,67.4,BOTTOM,90,10k,R0603
R_ILIM1,5.7,25.2,BOTTOM,270,2,R1206
R_ILIM2,19.8,21.7,BOTTOM,90,2,R1206
R_ILIM3,17.6,21.7,BOTTOM,90,2,R1206
R_ILIM4,7.9,25.2,BOTTOM,270,2,R1206
SJ1,36.2,18.1,BOTTOM,90,,SJ_2
SW_EFUSE_RST,39.5,28,BOTTOM,90,,TACTILE_SWITCH_SMD_6.0X3.5MM
U2,29.7,57.3,BOTTOM,270,LMV331M5X,MF05A
