Comment,Designator,Footprint,JLCPCB Part #,QTY,Order From Digikey?
,J2,66201821022,DNP,1,
,D12IN,SMADIODE,C110531,1,
,L_12V,CHIPLED_1206,C434439,1,
1/2BRIDGE,"BRDG_A, BRDG_B",1/2BRIDGE,DNP/CUSTOM,2,
1M,"RGND1, RGND2",R1206,DNP/C26124,2,
1k,RLD3,R1206,C115421,1,
22uF,"CGND1, CGND2",C1206,DNP/C77091,2,
"4mOhm, 3W","RSHUNT1, RSHUNT2, RSHUNT3, RSHUNT4, RSHUNT5, RSHUNT6, RSHUNT7, RSHUNT8",R2512,C728322,8,
EFUSE_2.0.0,EFUSE1,EFUSE_2.0.0,DNP/CUSTOM,1,
ELECTRIC_SHOCK,"U$1, U$2, U$3, U$4, U$5, U$6, U$7, U$8, U$9, U$10, U$11",ELECTRIC_SHOCK,DNP,11,
HALL_EFFECT_CURRENT_MONITOR,U$13,HALL_CURRENT_MONITOR,DNP/CUSTOM,1,
TB005-762-02BE,"-VBUSA, -VBUSB, 12VIN, PWR_GND, VDD_A, VDD_B, VSS_A, VSS_B",TB005-762-02BE_CUD,DNP,8,
THM_TESTPOINT_5000_SERIES,"TP-AC1, TP-GND1, TP-GND4, TP-GND5, TP-GND6, TP-VBAT+, TP-VBUS-, TP-VSSA",THM-TESTPOINT,DNP,8,
