Designator   ,Mid X,Mid Y,Layer,Rotation,Value,Footprint
CGND1,57.5,71.5,TOP,0,22uF,C1206
CGND2,57.5,74.5,TOP,0,22uF,C1206
D12IN,164.5,37,TOP,90,,SMADIODE
L_12V,170,46.5,TOP,0,,CHIPLED_1206
RGND1,57.5,81,TOP,0,1M,R1206
RGND2,57.5,78,TOP,0,1M,R1206
RLD3,170,40.9,TOP,270,1k,R1206
RSHUNT1,143,8,TOP,180,"4mOhm, 3W",R2512
RSHUNT2,143,12,TOP,180,"4mOhm, 3W",R2512
RSHUNT3,143,16,TOP,180,"4mOhm, 3W",R2512
RSHUNT4,143,20,TOP,180,"4mOhm, 3W",R2512
RSHUNT5,44,7,TOP,180,"4mOhm, 3W",R2512
RSHUNT6,44,11,TOP,180,"4mOhm, 3W",R2512
RSHUNT7,44,15,TOP,180,"4mOhm, 3W",R2512
RSHUNT8,44,19,TOP,180,"4mOhm, 3W",R2512
