Designator   ,Mid X,Mid Y,Layer,Rotation,Value,Footprint
C5,40.7,18.2,TOP,0,22uF,C1206
C6,40.7,15.9,TOP,0,22uF,C1206
CBOOT1,33,10.8,TOP,90,3.3uF,C1812
CHV1,6.15,36.9,TOP,180,"3.3uF, 100V",C2220K
CHV2,6.15,43.3,TOP,180,"3.3uF, 100V",C2220K
CVH3,6.15,30.5,TOP,180,"3.3uF, 100V",C2220K
CVH4,6.15,24.1,TOP,180,"3.3uF, 100V",C2220K
D12IN,39,5,TOP,180,,SMADIODE
DBOOT1,34.2,15.7,TOP,0,,SMADIODE
DOV3,22.1,15.4,TOP,90,,SMADIODE
DOV4,64,20.5,TOP,225,,SMADIODE
DRVR_X,40.7,11.5,TOP,90,NCP5181,8-SOIC
DZ15V1,27.7,16.5,TOP,0,"NZH15B,115",SODFL3718X115
DZ15V2,27.7,14,TOP,0,"NZH15B,115",SODFL3718X115
DZ15V3,53.5,7.5,TOP,225,"NZH15B,115",SODFL3718X115
DZ15V4,55.5,5.5,TOP,225,"NZH15B,115",SODFL3718X115
DZ24V1,28,5,TOP,0,"NZH15B,115",SODFL3718X115
DZ24V10,61,7,TOP,225,"NZH15B,115",SODFL3718X115
DZ24V11,59,9,TOP,225,"NZH15B,115",SODFL3718X115
DZ24V12,57,11,TOP,225,"NZH15B,115",SODFL3718X115
DZ24V17,61.5,13.5,TOP,225,"NZH15B,115",SODFL3718X115
DZ24V18,59,15.5,TOP,225,"NZH15B,115",SODFL3718X115
DZ24V19,65,17,TOP,225,"NZH15B,115",SODFL3718X115
DZ24V2,29,8.5,TOP,270,"NZH15B,115",SODFL3718X115
DZ24V22,21.5,8.5,TOP,270,"NZH15B,115",SODFL3718X115
DZ24V23,19,10.85,TOP,270,"NZH15B,115",SODFL3718X115
DZ24V24,19,15.85,TOP,270,"NZH15B,115",SODFL3718X115
DZ24V3,26.5,8.5,TOP,270,"NZH15B,115",SODFL3718X115
DZ24V4,24,8.5,TOP,270,"NZH15B,115",SODFL3718X115
DZ24V9,57.5,3.5,TOP,225,"NZH15B,115",SODFL3718X115
L_12V,48.8,5,TOP,270,,CHIPLED_1206
L_VBAT,2.4,18.4,TOP,0,,CHIPLED_1206
MS1,65,4,TOP,0,9774060151,WA-SMSI_9774060151
MS2,4,51.5,TOP,0,9774060151,WA-SMSI_9774060151
MS3,65,51.5,TOP,0,9774060151,WA-SMSI_9774060151
NTC1,15.8,16.9,TOP,45,10k 3950k,R0805
QA_H5,22.33,26.83,TOP,90,IPB60R060P7ATMA1,D2PACK
QA_H6,22.33,40.83,TOP,90,IPB60R060P7ATMA1,D2PACK
QA_L5,46.33,26.83,TOP,90,IPB60R060P7ATMA1,D2PACK
QA_L6,46.33,40.83,TOP,90,IPB60R060P7ATMA1,D2PACK
RG5,55.3,23.11,TOP,270,8,R1206
RG6,55.3,37.01,TOP,270,8,R1206
RG7,31.57,22.81,TOP,270,8,R1206
RG8,31.77,36.91,TOP,270,8,R1206
RGS5,51.5,21.64,TOP,180,10k,R1206
RGS6,51.5,35.54,TOP,180,10k,R1206
RGS7,27.9,21.34,TOP,180,1M,R1206
RGS8,28.01,35.44,TOP,180,1M,R1206
RLD1,2.4,13.2,TOP,270,10k,R1206
RLD3,48.8,7.1,TOP,180,1k,R1206
